model,RMSE,MAPE,R2,protocol,fold,cutoff
ols,29384.840996380917,25.4177948619892,0.7607878313450909,kfold,1,
ols,68425.728721391,27.108818427611304,0.06361108557056727,kfold,2,
ols,42304.49666635162,27.205538186698487,0.5969214234410685,kfold,3,
ols,30553.065973885015,26.698105518175336,0.7511346165057979,kfold,4,
ols,33315.380410771555,27.496541048293356,0.7580039060498116,kfold,5,
ridge,30575.381093992935,23.285960833015434,0.7410115861467658,kfold,1,
ridge,84357.48155494934,25.054006824416618,-0.42319566542034237,kfold,2,
ridge,40341.62295417599,25.682360922068526,0.6334583050553922,kfold,3,
ridge,31561.716661864313,25.02157832961453,0.7344317636653499,kfold,4,
ridge,33123.96572468698,24.281949003600786,0.760776711557722,kfold,5,
lasso,33422.9841451535,24.76654980049922,0.6905239649858369,kfold,1,
lasso,84851.04700347652,26.848854251944314,-0.43989827769413203,kfold,2,
lasso,44196.97809390069,27.50132060618475,0.5600515378772943,kfold,3,
lasso,35196.59714568231,26.740146225186372,0.6697397916119059,kfold,4,
lasso,36309.3149573975,25.394270029031336,0.7125548976327662,kfold,5,
rf,22781.670366746766,11.399449189592776,0.8562169454726258,kfold,1,
rf,28888.48828046057,10.723806942775655,0.8330958892827566,kfold,2,
rf,30127.30411572374,11.006050959158824,0.7955734993279937,kfold,3,
rf,21782.622830647528,12.261261800186428,0.8735044524538107,kfold,4,
rf,21291.388289685885,10.003613067921592,0.9011613594631456,kfold,5,
svr,22219.709921699476,12.692551811692896,0.8632229136559129,kfold,1,
svr,34471.33723218879,12.643031369578313,0.762352273796591,kfold,2,
svr,33055.77372801213,13.249877907266391,0.7539001744698253,kfold,3,
svr,20290.063723276806,13.824109135575831,0.8902456561067428,kfold,4,
svr,27431.997430807914,12.818356750661037,0.835928304623071,kfold,5,
xgb,21034.60795320546,10.695618315443339,0.877424006450048,kfold,1,
xgb,27095.103586962276,10.312113246534357,0.8531753303166048,kfold,2,
xgb,30395.492194583112,10.758791811925112,0.791917760963839,kfold,3,
xgb,20583.092989996338,11.683343200361445,0.8870526181980101,kfold,4,
xgb,19231.793718143523,9.603602409020082,0.9193585390684416,kfold,5,
ols,40389.14293924329,28.74457966416233,0.76820508946453,time_split,0,2023.0
ridge,91229.93145230947,28.77580272659166,-0.1826311613616165,time_split,0,2023.0
lasso,64365.11571768957,24.6686802028352,0.4113248138876493,time_split,0,2023.0
rf,24918.152434259933,18.24377986561387,0.9117720278287692,time_split,0,2023.0
svr,38170.2045891785,32.368279510524104,0.7929746171267268,time_split,0,2023.0
xgb,33962.171811687294,18.304420545088295,0.8361050657272933,time_split,0,2023.0
