protocol,model,RMSE_mean,RMSE_std,MAPE_mean,MAPE_std,R2_mean,R2_std
kfold,lasso,46795.38426912211,21669.65492470427,26.250228182569195,1.1288900537558233,0.4385943828827343,0.494583732330562
kfold,ols,40796.702553756026,16253.994783207243,26.785359608553534,0.8162109558382973,0.5860917725824673,0.3001728604275106
kfold,rf,24974.2947766529,4196.206258019829,11.078836391927055,0.8349208401994991,0.8519104292000664,0.04011962934206468
kfold,ridge,43992.03359793391,22887.382601985795,24.66517118254318,0.9167844081009597,0.4892965402009775,0.5124885036134729
kfold,svr,27493.776407197023,6311.403164730077,13.045585394954895,0.496525416354057,0.8211298645304286,0.060709240765298156
kfold,xgb,23668.01808857814,4825.337328363266,10.610693796656866,0.7554974101955845,0.8657856509993888,0.04762686981502434
time_split,lasso,64365.11571768957,,24.6686802028352,,0.4113248138876493,
time_split,ols,40389.14293924329,,28.74457966416233,,0.76820508946453,
time_split,rf,24918.152434259933,,18.24377986561387,,0.9117720278287692,
time_split,ridge,91229.93145230947,,28.77580272659166,,-0.1826311613616165,
time_split,svr,38170.2045891785,,32.368279510524104,,0.7929746171267268,
time_split,xgb,33962.171811687294,,18.304420545088295,,0.8361050657272933,
